"Model","Task Type","Status","Last Updated Timestamp","Callback URL"
"Bhashini-IITB Translation Marathi-English","translation","unavailable","28/08/2024","https://dhruva-api.bhashini.gov.in/services/inference/translation?serviceId=iitb/trilingual-en_hi_mr-v1-gpu--t4"
"Bhashini-IITB Translation Hindi-Marathi","translation","unavailable","28/08/2024","https://dhruva-api.bhashini.gov.in/services/inference/translation?serviceId=iitb/trilingual-en_hi_mr-v1-gpu--t4"
"Bhashini-IITB Translation Hindi-English","translation","unavailable","28/08/2024","https://dhruva-api.bhashini.gov.in/services/inference/translation?serviceId=iitb/trilingual-en_hi_mr-v1-gpu--t4"
"Bhashini-IITB Translation English-Hindi","translation","unavailable","28/08/2024","https://dhruva-api.bhashini.gov.in/services/inference/translation?serviceId=iitb/trilingual-en_hi_mr-v1-gpu--t4"
"Bhashini-IITB Translation English-Marathi","translation","unavailable","28/08/2024","https://dhruva-api.bhashini.gov.in/services/inference/translation?serviceId=iitb/trilingual-en_hi_mr-v1-gpu--t4"
"Bhashini-IIITH HimangY Gujrati-Hindi.","translation","unavailable","28/08/2024","https://dhruva-api.bhashini.gov.in/services/inference/translation?serviceId=Bhashini/IIITH/Trans/V1"
"Bhashini-IIITH HimangY urdu-Hindi.","translation","unavailable","28/08/2024","https://dhruva-api.bhashini.gov.in/services/inference/translation?serviceId=Bhashini/IIITH/Trans/V1"
"Bhashini-IIITH HimangY Gujrati-English.","translation","unavailable","28/08/2024","https://dhruva-api.bhashini.gov.in/services/inference/translation?serviceId=Bhashini/IIITH/Trans/V1"
"Bhashini-IIITH HimangY English-Gujarati.","translation","unavailable","28/08/2024","https://dhruva-api.bhashini.gov.in/services/inference/translation?serviceId=Bhashini/IIITH/Trans/V1"
"Bhashini-IIITH HimangY Oriya-Hindi.","translation","unavailable","28/08/2024","https://dhruva-api.bhashini.gov.in/services/inference/translation?serviceId=Bhashini/IIITH/Trans/V1"
"Bhashini-IIITH HimangY Hindi-Oriya.","translation","unavailable","28/08/2024","https://dhruva-api.bhashini.gov.in/services/inference/translation?serviceId=Bhashini/IIITH/Trans/V1"
"IIIT Hyderabad Translation (HimangY) -- v1.2 langset (general domain): Gujarati-Hindi","translation","available","01/12/2023","https://dhruva-api.bhashini.gov.in/services/inference/translation?serviceId=Bhashini/IIITH/Trans/V1"
"Bhashini-IIITH HimangY Hindi-Gujarati.","translation","unavailable","28/08/2024","https://dhruva-api.bhashini.gov.in/services/inference/translation?serviceId=Bhashini/IIITH/Trans/V1"
"IIIT Hyderabad Translation (HimangY) -- v1.2 langset (general domain): urdu-Hindi","translation","available","01/12/2023","https://dhruva-api.bhashini.gov.in/services/inference/translation?serviceId=Bhashini/IIITH/Trans/V1"
"Bhashini-IIITH HimangY Hindi-Urdu.","translation","unavailable","28/08/2024","https://dhruva-api.bhashini.gov.in/services/inference/translation?serviceId=Bhashini/IIITH/Trans/V1"
"Bhashini-IIITH HimangY Telugu-Hindi.","translation","unavailable","28/08/2024","https://dhruva-api.bhashini.gov.in/services/inference/translation?serviceId=Bhashini/IIITH/Trans/V1"
"Bhashini-IIITH HimangY Hindi-Telugu.","translation","unavailable","28/08/2024","https://dhruva-api.bhashini.gov.in/services/inference/translation?serviceId=Bhashini/IIITH/Trans/V1"
"Bhashini-IIITH HimangY English-Telugu.","translation","unavailable","28/08/2024","https://dhruva-api.bhashini.gov.in/services/inference/translation?serviceId=Bhashini/IIITH/Trans/V1"
"IIIT Hyderabad Translation (HimangY) -- v1.2 langset (general domain): English-Telugu","translation","unavailable","28/08/2024","https://dhruva-api.bhashini.gov.in/services/inference/translation?serviceId=Bhashini/IIITH/Trans/V1"
"Bhashini-IIITH HimangY Hindi-English.","translation","unavailable","28/08/2024","https://dhruva-api.bhashini.gov.in/services/inference/translation?serviceId=Bhashini/IIITH/Trans/V1"
"Bhashini-IIITH HimangY English-Hindi.","translation","unavailable","28/08/2024","https://dhruva-api.bhashini.gov.in/services/inference/translation?serviceId=Bhashini/IIITH/Trans/V1"
"Bhashini-IIITH HimangY Hindi-Panjabi.","translation","unavailable","28/08/2024","https://dhruva-api.bhashini.gov.in/services/inference/translation?serviceId=Bhashini/IIITH/Trans/V1"
"AI4Bharat Hindi ASR (Conformer, Batch)_Devanagari","asr","unavailable","28/08/2024","https://dhruva-api.bhashini.gov.in/services/inference/asr?serviceId=ai4bharat/conformer-hi-gpu--t4"
"AI4Bharat Bengali Indo-Aryan ASR (Conformer, Batch)_Bengali","asr","unavailable","28/08/2024","https://dhruva-api.bhashini.gov.in/services/inference/asr?serviceId=ai4bharat/conformer-multilingual-indo_aryan-gpu--t4"
"AI4Bharat Gujarati Indo-Aryan ASR (Conformer, Batch)_Gujarati","asr","unavailable","28/08/2024","https://dhruva-api.bhashini.gov.in/services/inference/asr?serviceId=ai4bharat/conformer-multilingual-indo_aryan-gpu--t4"
"AI4Bharat Marathi Indo-Aryan ASR (Conformer, Batch)_Devanagari","asr","unavailable","28/08/2024","https://dhruva-api.bhashini.gov.in/services/inference/asr?serviceId=ai4bharat/conformer-multilingual-indo_aryan-gpu--t4"
"AI4Bharat Odia Indo-Aryan ASR (Conformer, Batch)_Oriya","asr","unavailable","28/08/2024","https://dhruva-api.bhashini.gov.in/services/inference/asr?serviceId=ai4bharat/conformer-multilingual-indo_aryan-gpu--t4"
"AI4Bharat Punjabi Indo-Aryan ASR (Conformer, Batch)_Gurmukhi","asr","unavailable","28/08/2024","https://dhruva-api.bhashini.gov.in/services/inference/asr?serviceId=ai4bharat/conformer-multilingual-indo_aryan-gpu--t4"
"AI4Bharat Sanskrit Indo-Aryan ASR (Conformer, Batch)_Devanagari","asr","unavailable","28/08/2024","https://dhruva-api.bhashini.gov.in/services/inference/asr?serviceId=ai4bharat/conformer-multilingual-indo_aryan-gpu--t4"
